l,t,freq,S21
1.1,0.2,6.2,-0.197566182
1.1,0.2,6.3,-0.202976735
1.1,0.2,6.4,-0.2084455
1.1,0.2,6.5,-0.213973074
1.1,0.2,6.6,-0.219560082
1.1,0.2,6.7,-0.225207168
1.1,0.2,6.8,-0.230914987
1.1,0.2,6.9,-0.236684203
1.1,0.2,7,-0.242515475
1.1,0.2,7.1,-0.248409454
1.1,0.2,7.2,-0.254366777
1.1,0.2,7.3,-0.260388058
1.1,0.2,7.4,-0.266473883
1.1,0.2,7.5,-0.272624803
1.1,0.2,7.6,-0.278841332
1.1,0.2,7.7,-0.285123935
1.1,0.2,7.8,-0.291473031
1.1,0.2,7.9,-0.297888981
1.1,0.2,8,-0.30437209
1.1,0.2,8.1,-0.3109226
1.1,0.2,8.2,-0.317540688
1.1,0.2,8.3,-0.324226463
1.1,0.2,8.4,-0.330979966
1.1,0.2,8.5,-0.337801165
1.1,0.2,8.6,-0.344689956
1.1,0.2,8.7,-0.351646163
1.1,0.2,8.8,-0.358669537
1.1,0.2,8.9,-0.365759756
1.1,0.2,9,-0.372916429
1.1,0.2,9.1,-0.380139091
1.1,0.2,9.2,-0.387427214
1.1,0.2,9.3,-0.394780202
1.1,0.2,9.4,-0.402197396
1.1,0.2,9.5,-0.409678078
1.1,0.2,9.6,-0.417221474
1.1,0.2,9.7,-0.424826758
1.1,0.2,9.8,-0.432493056
1.1,0.2,9.9,-0.44021945
1.1,0.2,10,-0.448004981
1.1,0.2,10.1,-0.455848659
1.1,0.2,10.2,-0.463749462
1.1,0.2,10.3,-0.471706345
1.1,0.2,10.4,-0.479718241
1.1,0.2,10.5,-0.487784071
1.1,0.2,10.6,-0.495902746
1.1,0.2,10.7,-0.504073172
1.1,0.2,10.8,-0.512294258
1.1,0.2,10.9,-0.520564916
1.1,0.2,11,-0.52888407
1.1,0.2,11.1,-0.537250658
1.1,0.2,11.2,-0.545663638
1.1,0.2,11.3,-0.554121993
1.1,0.2,11.4,-0.562624731
1.1,0.2,11.5,-0.571170894
1.1,0.2,11.6,-0.579759559
1.1,0.2,11.7,-0.58838984
1.1,0.2,11.8,-0.597060894
1.1,0.2,11.9,-0.605771922
1.1,0.2,12,-0.614522171
1.1,0.2,12.1,-0.623310941
1.1,0.2,12.2,-0.63213758
1.1,0.2,12.3,-0.641001491
1.1,0.2,12.4,-0.649902132
1.1,0.2,12.5,-0.658839019
1.1,0.2,12.6,-0.667811725
1.1,0.2,12.7,-0.676819884
1.1,0.2,12.8,-0.685863189
1.1,0.2,12.9,-0.694941397
1.1,0.2,13,-0.704054325
1.1,0.2,13.1,-0.713201857
1.1,0.2,13.2,-0.72238394
1.1,0.2,13.3,-0.731600586
1.1,0.2,13.4,-0.740851876
1.1,0.2,13.5,-0.750137957
1.1,0.2,13.6,-0.759459047
1.1,0.2,13.7,-0.768815433
1.1,0.2,13.8,-0.778207474
1.1,0.2,13.9,-0.787635604
1.1,0.2,14,-0.797100332
1.1,0.2,14.1,-0.806602245
1.1,0.2,14.2,-0.816142009
1.1,0.2,14.3,-0.825720373
1.1,0.2,14.4,-0.835338174
1.1,0.2,14.5,-0.844996335
1.1,0.2,14.6,-0.854695871
1.1,0.2,14.7,-0.864437895
1.1,0.2,14.8,-0.874223619
1.1,0.2,14.9,-0.884054357
1.1,0.2,15,-0.893931536
1.1,0.2,15.1,-0.903856693
1.1,0.2,15.2,-0.913831486
1.1,0.2,15.3,-0.923857696
1.1,0.2,15.4,-0.933937236
1.1,0.2,15.5,-0.944072152
1.1,0.2,15.6,-0.954264636
1.1,0.2,15.7,-0.964517028
1.1,0.2,15.8,-0.974831824
1.1,0.2,15.9,-0.985211685
1.1,0.2,16,-0.995659441
1.1,0.3,2,-0.030133416
1.1,0.3,2.1,-0.032542853
1.1,0.3,2.2,-0.035024084
1.1,0.3,2.3,-0.037578024
1.1,0.3,2.4,-0.040205576
1.1,0.3,2.5,-0.042907594
1.1,0.3,2.6,-0.045684862
1.1,0.3,2.7,-0.048538079
1.1,0.3,2.8,-0.051467849
1.1,0.3,2.9,-0.054474679
1.1,0.3,3,-0.057558979
1.1,0.3,3.1,-0.060721067
1.1,0.3,3.2,-0.06396117
1.1,0.3,3.3,-0.067279428
1.1,0.3,3.4,-0.070675904
1.1,0.3,3.5,-0.074150588
1.1,0.3,3.6,-0.077703403
1.1,0.3,3.7,-0.081334209
1.1,0.3,3.8,-0.085042813
1.1,0.3,3.9,-0.08882897
1.1,0.3,4,-0.092692392
1.1,0.3,4.1,-0.096632752
1.1,0.3,4.2,-0.100649686
1.1,0.3,4.3,-0.1047428
1.1,0.3,4.4,-0.108911674
1.1,0.3,4.5,-0.113155864
1.1,0.3,4.6,-0.117474909
1.1,0.3,4.7,-0.121868329
1.1,0.3,4.8,-0.126335631
1.1,0.3,4.9,-0.130876314
1.1,0.3,5,-0.135489865
1.1,0.3,5.1,-0.140175769
1.1,0.3,5.2,-0.144933506
1.1,0.3,5.3,-0.149762554
1.1,0.3,5.4,-0.154662393
1.1,0.3,5.5,-0.159632502
1.1,0.3,5.6,-0.164672368
