"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
1.1,0.3,5.8,-0.174959330185767
1.1,0.3,5.9,-0.180205425189174
1.1,0.3,6,-0.185519274909869
1.1,0.3,6.1,-0.190900399673239
1.1,0.3,6.2,-0.196348329734435
1.1,0.3,6.3,-0.201862605918451
1.1,0.3,6.4,-0.207442780143785
1.1,0.3,6.5,-0.213088415830563
1.1,0.3,6.6,-0.218799088193778
1.1,0.3,6.7,-0.224574384421604
1.1,0.3,6.8,-0.230413903739053
1.1,0.3,6.9,-0.236317257356718
1.1,0.3,7,-0.242284068304489
1.1,0.3,7.1,-0.248313971150051
1.1,0.3,7.2,-0.254406611602122
1.1,0.3,7.3,-0.260561645998352
1.1,0.3,7.4,-0.266778740678547
1.1,0.3,7.5,-0.273057571243456
1.1,0.3,7.6,-0.279397821700313
1.1,0.3,7.7,-0.285799183496502
1.1,0.3,7.8,-0.292261354443306
1.1,0.3,7.9,-0.298784037532083
1.1,0.3,8,-0.305366939646222
1.1,0.3,8.1,-0.312009770172326
1.1,0.3,8.2,-0.318712239515472
1.1,0.3,8.3,-0.325474057523445
1.1,0.3,8.4,-0.332294931826483
1.1,0.3,8.5,-0.339174566098936
1.1,0.3,8.6,-0.346112658251225
1.1,0.3,8.7,-0.353108898560231
1.1,0.3,8.8,-0.360162967748243
1.1,0.3,8.9,-0.367274535020688
1.1,0.3,9,-0.374443256074191
1.1,0.3,9.1,-0.381668771087467
1.1,0.3,9.2,-0.388950702708099
1.1,0.3,9.3,-0.396288654049553
1.1,0.3,9.4,-0.403682206713158
1.1,0.3,9.5,-0.411130918851081
1.1,0.3,9.6,-0.418634323286482
1.1,0.3,9.7,-0.426191925708145
1.1,0.3,9.8,-0.433803202957183
1.1,0.3,9.9,-0.44146760142415
1.1,0.3,10,-0.449184535574964
1.1,0.3,10.1,-0.456953386624653
1.1,0.3,10.2,-0.464773501377981
1.1,0.3,10.3,-0.472644191256007
1.1,0.3,10.4,-0.480564731527624
1.1,0.3,10.5,-0.488534360765022
1.1,0.3,10.6,-0.496552280541422
1.1,0.3,10.7,-0.504617655389124
1.1,0.3,10.8,-0.512729613035121
1.1,0.3,10.9,-0.520887244930919
1.1,0.3,11,-0.529089607091979
1.1,0.3,11.1,-0.537335721261254
1.1,0.3,11.2,-0.545624576409835
1.1,0.3,11.3,-0.553955130586436
1.1,0.3,11.4,-0.56232631312584
1.1,0.3,11.5,-0.570737027224334
1.1,0.3,11.6,-0.579186152888716
1.1,0.3,11.7,-0.587672550263169
1.1,0.3,11.8,-0.596195063335809
1.1,0.3,11.9,-0.604752524025079
1.1,0.3,12,-0.613343756643009
1.1,0.3,12.1,-0.621967582730293
1.1,0.3,12.2,-0.630622826255164
1.1,0.3,12.3,-0.639308319165615
1.1,0.3,12.4,-0.648022907281379
1.1,0.3,12.5,-0.656765456509671
1.1,0.3,12.6,-0.665534859365198
1.1,0.3,12.7,-0.674330041772793
1.1,0.3,12.8,-0.68314997012732
1.1,0.3,12.9,-0.691993658583481
1.1,0.3,13,-0.700860176544318
1.1,0.3,13.1,-0.709748656315312
1.1,0.3,13.2,-0.718658300887925
1.1,0.3,13.3,-0.727588391813409
1.1,0.3,13.4,-0.736538297126036
1.1,0.3,13.5,-0.745507479271925
1.1,0.3,13.6,-0.754495502997609
1.1,0.3,13.7,-0.763502043150832
1.1,0.3,13.8,-0.772526892343686
1.1,0.3,13.9,-0.781569968427348
1.1,0.3,14,-0.790631321725812
1.1,0.3,14.1,-0.799711141975438
1.1,0.3,14.2,-0.808809764916215
1.1,0.3,14.3,-0.817927678480351
1.1,0.3,14.4,-0.827065528524002
1.1,0.3,14.5,-0.836224124047752
